epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,7376.51,1.21445,0.8888,0.00869,0.78209,0.78842,0.8259,0.64209,1.112,0.82334,0.02133,0.000825827,0.000275276,0.000825827,0.000275276,0.000825827,0.000275276,0.000825827,0.000275276
53,7515.19,1.20301,0.88204,0.00888,0.79737,0.74745,0.81819,0.63415,1.10733,0.82539,0.02133,0.000809314,0.000269771,0.000809314,0.000269771,0.000809314,0.000269771,0.000809314,0.000269771
54,7656.54,1.19387,0.86662,0.00876,0.81518,0.7728,0.83044,0.64446,1.11691,0.81229,0.02155,0.0007928,0.000264267,0.0007928,0.000264267,0.0007928,0.000264267,0.0007928,0.000264267
55,7796.35,1.21013,0.86036,0.0086,0.79111,0.78495,0.83222,0.64391,1.11327,0.81273,0.02134,0.000776287,0.000258762,0.000776287,0.000258762,0.000776287,0.000258762,0.000776287,0.000258762
56,7937.25,1.20649,0.84516,0.00875,0.80436,0.78122,0.82025,0.63936,1.10846,0.81405,0.02144,0.000759774,0.000253258,0.000759774,0.000253258,0.000759774,0.000253258,0.000759774,0.000253258
57,8076.35,1.18475,0.84772,0.00884,0.81714,0.74456,0.82001,0.636,1.11256,0.79764,0.02143,0.000743261,0.000247754,0.000743261,0.000247754,0.000743261,0.000247754,0.000743261,0.000247754
58,8214.93,1.20812,0.85318,0.00866,0.82749,0.74814,0.82321,0.64424,1.12129,0.80618,0.0217,0.000726748,0.000242249,0.000726748,0.000242249,0.000726748,0.000242249,0.000726748,0.000242249
59,8359.8,1.19913,0.86189,0.00867,0.84559,0.74184,0.82323,0.64103,1.11491,0.80673,0.02153,0.000710234,0.000236745,0.000710234,0.000236745,0.000710234,0.000236745,0.000710234,0.000236745
60,8504.95,1.19418,0.81818,0.00839,0.81977,0.76591,0.82217,0.63635,1.12759,0.80383,0.02205,0.000693721,0.00023124,0.000693721,0.00023124,0.000693721,0.00023124,0.000693721,0.00023124
61,8647.76,1.17499,0.83169,0.00873,0.82524,0.7628,0.82204,0.63707,1.13044,0.81862,0.02221,0.000677208,0.000225736,0.000677208,0.000225736,0.000677208,0.000225736,0.000677208,0.000225736
62,8791.51,1.19863,0.8434,0.00868,0.8321,0.77689,0.83526,0.64678,1.11363,0.80198,0.02173,0.000660695,0.000220232,0.000660695,0.000220232,0.000660695,0.000220232,0.000660695,0.000220232
63,8937.51,1.19252,0.80769,0.00822,0.79928,0.79318,0.8288,0.64048,1.1202,0.8026,0.02178,0.000644182,0.000214727,0.000644182,0.000214727,0.000644182,0.000214727,0.000644182,0.000214727
64,9083.24,1.18862,0.82297,0.00845,0.81344,0.78224,0.83936,0.64335,1.11965,0.81515,0.02183,0.000627668,0.000209223,0.000627668,0.000209223,0.000627668,0.000209223,0.000627668,0.000209223
65,9223.52,1.18946,0.81695,0.00864,0.80846,0.80449,0.8383,0.64723,1.11706,0.80581,0.02175,0.000611155,0.000203718,0.000611155,0.000203718,0.000611155,0.000203718,0.000611155,0.000203718
66,9368.09,1.1889,0.81971,0.00855,0.83385,0.76425,0.83589,0.65447,1.1188,0.80302,0.02167,0.000594642,0.000198214,0.000594642,0.000198214,0.000594642,0.000198214,0.000594642,0.000198214
67,9510.67,1.18684,0.82078,0.00845,0.83934,0.78429,0.84403,0.65298,1.1077,0.80997,0.02136,0.000578129,0.00019271,0.000578129,0.00019271,0.000578129,0.00019271,0.000578129,0.00019271
68,9650.06,1.18458,0.82225,0.00853,0.8262,0.78837,0.84291,0.65664,1.10422,0.82385,0.02108,0.000561616,0.000187205,0.000561616,0.000187205,0.000561616,0.000187205,0.000561616,0.000187205
69,9791.04,1.17861,0.79259,0.00828,0.82432,0.80371,0.85759,0.66868,1.11224,0.8077,0.02152,0.000545102,0.000181701,0.000545102,0.000181701,0.000545102,0.000181701,0.000545102,0.000181701
70,9933.52,1.19641,0.80986,0.00859,0.78759,0.81667,0.83857,0.65285,1.10694,0.81594,0.02129,0.000528589,0.000176196,0.000528589,0.000176196,0.000528589,0.000176196,0.000528589,0.000176196
71,10074,1.18577,0.79157,0.00853,0.8587,0.77396,0.84792,0.654,1.10803,0.80597,0.02149,0.000512076,0.000170692,0.000512076,0.000170692,0.000512076,0.000170692,0.000512076,0.000170692
72,10213.2,1.17351,0.79686,0.00861,0.84213,0.77402,0.84613,0.65779,1.10759,0.78982,0.02142,0.000495563,0.000165188,0.000495563,0.000165188,0.000495563,0.000165188,0.000495563,0.000165188
73,10351.8,1.18037,0.78685,0.00838,0.86069,0.77008,0.8471,0.65839,1.11476,0.7934,0.02161,0.00047905,0.000159683,0.00047905,0.000159683,0.00047905,0.000159683,0.00047905,0.000159683
74,10492.1,1.18446,0.79411,0.00841,0.82634,0.8089,0.84753,0.65953,1.10605,0.80192,0.0213,0.000462536,0.000154179,0.000462536,0.000154179,0.000462536,0.000154179,0.000462536,0.000154179
75,10632.7,1.19109,0.80587,0.00848,0.83414,0.76198,0.83831,0.65276,1.10075,0.79953,0.02109,0.000446023,0.000148674,0.000446023,0.000148674,0.000446023,0.000148674,0.000446023,0.000148674
76,10772.2,1.17937,0.79651,0.00832,0.83858,0.75322,0.83721,0.64876,1.10179,0.79524,0.02116,0.00042951,0.00014317,0.00042951,0.00014317,0.00042951,0.00014317,0.00042951,0.00014317
77,10910.8,1.16543,0.8005,0.00862,0.84587,0.75043,0.84164,0.65135,1.1088,0.79145,0.02138,0.000412997,0.000137666,0.000412997,0.000137666,0.000412997,0.000137666,0.000412997,0.000137666
78,11052.1,1.17662,0.78267,0.00839,0.82285,0.76608,0.84802,0.66409,1.0947,0.79579,0.02117,0.000396484,0.000132161,0.000396484,0.000132161,0.000396484,0.000132161,0.000396484,0.000132161
79,11194.5,1.16637,0.78741,0.00841,0.80221,0.8044,0.8525,0.66329,1.11039,0.78752,0.02154,0.00037997,0.000126657,0.00037997,0.000126657,0.00037997,0.000126657,0.00037997,0.000126657
80,11335.4,1.16672,0.77616,0.00826,0.82309,0.77355,0.84497,0.66034,1.09809,0.80341,0.02118,0.000363457,0.000121152,0.000363457,0.000121152,0.000363457,0.000121152,0.000363457,0.000121152
81,11476.1,1.16804,0.77957,0.00871,0.81765,0.77966,0.85239,0.66614,1.10102,0.7936,0.02121,0.000346944,0.000115648,0.000346944,0.000115648,0.000346944,0.000115648,0.000346944,0.000115648
82,11614.9,1.166,0.76843,0.00827,0.80082,0.78644,0.8434,0.6604,1.10254,0.80033,0.02127,0.000330431,0.000110144,0.000330431,0.000110144,0.000330431,0.000110144,0.000330431,0.000110144
83,11755.1,1.17849,0.76845,0.00821,0.78086,0.80295,0.84766,0.66345,1.09977,0.79971,0.02118,0.000313918,0.000104639,0.000313918,0.000104639,0.000313918,0.000104639,0.000313918,0.000104639
84,11894.7,1.162,0.76953,0.0083,0.83453,0.75887,0.84871,0.66272,1.10362,0.78873,0.02132,0.000297404,9.91348e-05,0.000297404,9.91348e-05,0.000297404,9.91348e-05,0.000297404,9.91348e-05
85,12033.4,1.16145,0.76218,0.00811,0.82692,0.77631,0.8498,0.66707,1.10106,0.78489,0.02116,0.000280891,9.36304e-05,0.000280891,9.36304e-05,0.000280891,9.36304e-05,0.000280891,9.36304e-05
86,12172.4,1.15984,0.74417,0.00824,0.8276,0.77775,0.84411,0.65936,1.10428,0.79818,0.02132,0.000264378,8.8126e-05,0.000264378,8.8126e-05,0.000264378,8.8126e-05,0.000264378,8.8126e-05
87,12312.3,1.17407,0.76789,0.00837,0.80821,0.77361,0.83684,0.65346,1.10176,0.80224,0.02131,0.000247865,8.26216e-05,0.000247865,8.26216e-05,0.000247865,8.26216e-05,0.000247865,8.26216e-05
88,12451.6,1.16345,0.75893,0.00809,0.8333,0.7583,0.84098,0.65907,1.10659,0.78814,0.02144,0.000231352,7.71172e-05,0.000231352,7.71172e-05,0.000231352,7.71172e-05,0.000231352,7.71172e-05
89,12591.8,1.14723,0.76188,0.00836,0.82218,0.76601,0.83897,0.65565,1.10236,0.7884,0.02135,0.000214838,7.16128e-05,0.000214838,7.16128e-05,0.000214838,7.16128e-05,0.000214838,7.16128e-05
90,12731.2,1.16298,0.75782,0.00827,0.77425,0.79577,0.83848,0.65777,1.10309,0.79135,0.02135,0.000198325,6.61084e-05,0.000198325,6.61084e-05,0.000198325,6.61084e-05,0.000198325,6.61084e-05
91,12870.9,1.16998,0.71431,0.01091,0.79941,0.75127,0.81794,0.62766,1.13395,0.8568,0.02227,0.000181812,6.0604e-05,0.000181812,6.0604e-05,0.000181812,6.0604e-05,0.000181812,6.0604e-05
92,13009.9,1.13106,0.64967,0.01042,0.78006,0.77244,0.82418,0.63715,1.11796,0.8447,0.02181,0.000165299,5.50996e-05,0.000165299,5.50996e-05,0.000165299,5.50996e-05,0.000165299,5.50996e-05
93,13146.6,1.12428,0.6471,0.01035,0.77765,0.78815,0.8314,0.64574,1.11853,0.83217,0.02177,0.000148786,4.95952e-05,0.000148786,4.95952e-05,0.000148786,4.95952e-05,0.000148786,4.95952e-05
94,13282.1,1.12794,0.64318,0.0103,0.77542,0.78532,0.82479,0.64075,1.11329,0.82098,0.02168,0.000132272,4.40908e-05,0.000132272,4.40908e-05,0.000132272,4.40908e-05,0.000132272,4.40908e-05
95,13419,1.1193,0.64101,0.00979,0.80544,0.76799,0.83119,0.64663,1.10401,0.82246,0.02138,0.000115759,3.85864e-05,0.000115759,3.85864e-05,0.000115759,3.85864e-05,0.000115759,3.85864e-05
96,13554.9,1.12563,0.62993,0.01014,0.8523,0.76633,0.83435,0.64767,1.10413,0.81641,0.0214,9.9246e-05,3.3082e-05,9.9246e-05,3.3082e-05,9.9246e-05,3.3082e-05,9.9246e-05,3.3082e-05
97,13693.2,1.11603,0.62505,0.00988,0.82269,0.76913,0.83863,0.65268,1.10406,0.81093,0.02131,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05
98,13829,1.10628,0.62286,0.00978,0.83742,0.77158,0.84308,0.65881,1.10368,0.80898,0.02129,6.62196e-05,2.20732e-05,6.62196e-05,2.20732e-05,6.62196e-05,2.20732e-05,6.62196e-05,2.20732e-05
99,13965.6,1.11123,0.62051,0.00984,0.8419,0.77024,0.84092,0.6552,1.09885,0.81001,0.0212,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05
100,14101.4,1.11492,0.62345,0.0098,0.85253,0.75732,0.84111,0.65534,1.09559,0.82026,0.0211,3.31932e-05,1.10644e-05,3.31932e-05,1.10644e-05,3.31932e-05,1.10644e-05,3.31932e-05,1.10644e-05
